AP10406c,RELL2
AP1040a,Dnmt3L
AP10410a,KY
AP10413a,SYCE2
AP10415b,LHFPL5
AP10417a,Nephrin (Y1210)
AP10422A,LYSMD4
AP10426a,KIAA1644
AP10427a,ZBBX
AP10428c,KBTBD5
AP1042a,JMJD6 (PTDSR)
AP10432c,ATP6V0B
AP10435a,CLDN16
AP10436c,PHTF2
AP10437a,CCDC19
AP10439b,SCXA
AP1043b,JHDM1a/FBXL11
AP1043c,JHDM1a/FBXL11
AP10442a,GATM
AP10444c,PSG9
AP1044a,SMYD2
AP10450C,ALOXE3
AP10451b,ANGPT1
AP10453c,DDX11
AP10454c,ABCD1
AP10456c,ENSA
AP10458b,PAX1
AP10460a,RABGAP1
AP10461a,CHST3
AP10463B,IL12B
AP10464c,LILRA2
AP10465A,IDDM12
AP10466b,IGF2BP1
AP10467C,ADORA2A
AP10468b,SELPLG
AP10469a,ACTL7A
AP1046a,JMJD2A
AP10470b,ATP6V0C
AP10471c,B3GAT2
AP10472c,BCMO1
AP10473b,CHIC2
AP10474c,CLIC6
AP10475A,COL19A1
AP10476a,CTSA
AP10477c,CYP2A7
AP10478c,DEM1
AP10480A,DNAJC11
AP10481c,E2F2
AP10483b,GNA15
AP10484c,GNAT3
AP10485b,CCR8
AP10486b,CMKOR1
AP10487A,COL5A1
AP10488B,PAX7
AP10489a,PRSS3
AP10490b,INPP5B
AP10491c,ISCA2
AP10492c,GRINA
AP10493c,ST7
AP10494b,ITGAE
AP10495b,NCALD
AP10496a,TMBIM4
AP10497C,MRPS24
AP10498a,MICALL1
AP10499a,AP3S1
AP10500b,TPSD1
AP10502c,CB018
AP10503a,S6A12
AP10504a,PGAM2
AP10505b,WDR48
AP10506a,AVPI1
AP10507b,VITRN
AP10508a,ZN169
AP10509c,MCAF2
AP1050a,Me2-Histone H3(K9)
AP10510c,CF150
AP10511b,CASC4
AP10512a,CC85C
AP10513c,DEN5A
AP10514b,K1609
AP10515b,IFT81
AP10516b,MYCT1
AP10517a,MYSM1
AP10519a,NARG2
AP1051a,Histone H3
AP1051d,Histone H3 (S10)
AP10520c,NDUAB
AP10521a,PIGX
AP10522a,TCAL3
AP10523b,ZNF98
AP10524c,I2BP2
AP10525b,WWC3
AP10526b,DMRT3
AP10527b,RTP1
AP10528c,5HT3E
AP10529b,LRC18
AP10530c,TPGS2
AP10532a,ZNF197
AP10534b,FSTL1
AP10536a,ZNF780A
AP10537B,LRRC57
AP10538b,RTP4
AP10539b,LY6G6C
AP10540b,OR52A1
AP10542b,SCARF2
AP10543a,AKT1 (Thr308)
AP10544c,ZBTB41
AP10547b,PUSL1
AP10548a,WBSCR27
AP10549a,ZNF566
AP10552c,ZNF667
AP10553b,C14orf126
AP10554b,CCDC8
AP10558a,CLEC10A
AP10559a,TTC16
AP10560a,NUDT8
AP10562b,LRRC25
AP10563b,ZNF763
AP10565c,NXNL2
AP10566a,DMRTC1
AP10567c,GPR144
AP10568a,GAGE13
AP10572c,GTSF1
AP10573b,ZBTB10
AP10574b,TBCCD1
AP10576b,GOLGA2L1
AP10577b,ZFYVE28
AP10578B,C11orf74
AP10579c,ZIK1
AP10580a,ATPGD1
AP10582B,DEGS2
AP10584c,SPATA2L
AP10587c,LCN10
AP10588b,ZNF517
AP10590b,NKAPL
AP10593c,GTPBP8
AP10598b,RASAL3
